ID	Sex	Birth	Death
MASA1	F	2013-1-5	2013-12-16
MASA2	F	2013-1-15	2013-9-11
MASA3	F	2013-2-16	2013-7-30
MASA4	F	2013-2-16	2013-7-30
MASA5	F	2013-1-5	2013-12-16
MASA6	F	2013-1-4	2013-12-16
MIRO1	M	2013-1-5	2013-12-16
MIRO2	M	2013-1-4	2013-9-27
MIRO3	M	2013-1-5	2013-7-30
MIRO4	M	2013-1-31	2013-5-16
MIRO5	M	2013-1-5	2013-6-19
MIRO6	M	2013-1-31	2013-6-1
NORA1	F	2013-6-5	2013-12-16
NORA2	F	2013-6-5	2013-12-16
NORA3	F	2013-6-5	2013-12-16
NORO1	M	2013-6-5	2013-8-12
NORO2	M	2013-6-5	2013-9-11
NORO3	M	2013-6-5	2013-12-16
NORO4	M	2013-6-5	2013-12-16
OLA1	F	2013-7-5	2013-12-16
OLA2	F	2013-7-5	2013-12-16
OLA3	F	2013-7-5	2013-12-16
OLA4	F	2013-7-5	2013-12-16
OLA5	F	2013-7-5	2013-12-16
OLA6	F	2013-7-5	2013-10-1
OLDO1	M	2013-7-5	2013-9-21
OLDO2	M	2013-7-5	2013-10-10
OLDO3	M	2013-7-5	2013-9-18
PAJA1	F	2013-11-3	2013-12-16
PAVEL1	M	2013-11-3	2013-12-16
PAVEL3	M	2013-11-3	2013-12-16
PAVLA1	F	2013-8-1	2013-10-1
PAVLA2	F	2013-8-1	2013-9-27
PEPEK1	M	2013-8-1	2013-12-16
PEPEK2	M	2013-8-1	2013-11-27
PEPEK3	M	2013-8-1	2013-10-31
PEPEK4	M	2013-8-1	2013-10-12
QUIDA1	F	2013-8-6	2013-10-14
QUIDA2	F	2013-8-6	2013-12-16
QUIDA3	F	2013-8-6	2013-12-16
QUIDA4	F	2013-8-6	2013-12-16
QUIDO1	M	2013-8-6	2013-10-10
RENCA1	F	2013-8-30	2013-12-16
ROLDO1	M	2013-8-30	2013-10-31
TANA1	F	2013-9-3	2013-12-16
TANA3	F	2013-9-3	2013-12-16
TANA4	F	2013-9-3	2013-12-16
TANA5	F	2013-9-3	2013-10-31
TOMAS1	M	2013-9-3	2013-11-5
TOMAS2	M	2013-9-3	2013-12-16
TOMAS3	M	2013-9-3	2013-12-16
TOMAS4	M	2013-9-3	2013-12-16
TOMAS7	M	2013-9-3	2013-10-22
UNO1	F	2013-9-23	2013-12-16
UNO2	M	2013-9-23	2013-12-16
UNO3	M	2013-9-23	2013-12-16
VIERA3	F	2013-10-1	2013-12-16
XENA1	F	2013-10-10	2013-12-16
XENA2	F	2013-10-10	2013-12-16
XENA3	F	2013-10-10	2013-12-16
XEROX2	M	2013-10-10	2013-12-16
XEROX3	M	2013-10-10	2013-12-16
YVES3	M	2013-10-16	2013-12-16
YVES4	M	2013-10-16	2013-12-16
YVES5	M	2013-10-16	2013-12-16
ZOJA1	F	2013-10-17	2013-12-16
ZOJA2	F	2013-10-17	2013-12-16
ZOJA3	F	2013-10-17	2013-12-16
ZOJA4	F	2013-10-17	2013-12-16
ZOJA5	F	2013-10-17	2013-12-16
ZORO1	F	2013-10-17	2013-12-16
